Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Terrence Brooks,S,Florida State,3,79,https://www.sports-reference.com/cfb/players/terrence-brooks-1.html,71,198,4.42,10.0,38.0,119.0,7.35,,ACC,49,4,88,38,126,9.5,1.0,5,28,0,11,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Jonathan Brown,OLB,Illinois,0,0,https://www.sports-reference.com/cfb/players/jonathan-brown-1.html,72,238,5.03,16.0,31.0,108.0,7.77,4.56,Big Ten,36,3,153,164,317,45.5,14.0,3,82,1,8,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Corey Brown,WR,Ohio State,0,0,https://www.sports-reference.com/cfb/players/corey-brown-2.html,71,178,4.51,,33.0,116.0,7.16,4.22,Big Ten,52,4,,,,,,,,,,,,,,,,,,,,,145,1750,12.1,15,17,165,9.7,1,162,1915,11.8,16,,,,,,,,,,,,,,,,,,2014
Preston Brown,ILB,Louisville,3,73,https://www.sports-reference.com/cfb/players/preston-brown-4.html,73,251,4.86,23.0,33.0,116.0,6.98,4.26,Big East,52,4,177,120,297,22.0,7.5,1,3,0,1,2,48,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Martavis Bryant,WR,Clemson,4,118,https://www.sports-reference.com/cfb/players/martavis-bryant-1.html,76,211,4.42,16.0,39.0,124.0,7.18,4.15,ACC,37,3,,,,,,,,,,,,,,,,,,,,,61,1354,22.2,13,1,17,17.0,0,62,1371,22.1,13,,,,,,,,,,,,,,,,,,2014
Deone Bucannon,S,Washington State,1,27,https://www.sports-reference.com/cfb/players/deone-bucannon-1.html,73,211,4.49,19.0,36.5,125.0,6.96,4.26,Pac-10,49,4,254,109,363,12.5,1.0,15,170,0,9,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Max Bullough,ILB,Michigan State,0,0,https://www.sports-reference.com/cfb/players/max-bullough-1.html,75,249,4.78,30.0,31.0,112.0,7.22,4.3,Big Ten,53,4,120,179,299,31.0,8.0,3,24,0,4,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
Isaiah Burse,WR,Fresno State,0,0,https://www.sports-reference.com/cfb/players/isaiah-burse-1.html,70,188,4.58,16.0,31.0,115.0,6.74,3.94,WAC,52,4,,,,,,,,,,,,,,,,,,,,,210,2503,11.9,15,32,191,6.0,4,242,2694,11.1,19,,,,,,,,,,,,,,,,,,2014
Trey Burton,WR,Florida,0,0,https://www.sports-reference.com/cfb/players/trey-burton-1.html,74,224,4.62,,30.0,112.0,7.14,4.32,SEC,50,4,,,,,,,,,,,,,,,,,,,,,107,976,9.1,4,153,720,4.7,16,260,1696,6.5,20,,,,,,,,,,,,,,,,,,2014
Michael Campanaro,WR,Wake Forest,7,218,https://www.sports-reference.com/cfb/players/michael-campanaro-1.html,69,192,4.46,20.0,39.0,122.0,6.77,4.01,ACC,42,4,,,,,,,,,,,,,,,,,,,,,229,2506,10.9,14,51,238,4.7,2,280,2744,9.8,16,,,,,,,,,,,,,,,,,,2014
