Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Caleb Benenoch,OT,UCLA,5,148,https://www.sports-reference.com/cfb/players/caleb-benenoch-1.html,77.0,311.0,4.98,,28.0,104.0,8.15,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Andrew Billings,DT,Baylor,4,122,https://www.sports-reference.com/cfb/players/andrew-billings-1.html,73.0,311.0,5.05,31.0,27.5,113.0,8.05,4.82,Big 12,35.0,3.0,74.0,33.0,107.0,30.0,8.5,0.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Ronald Blair,DE,Appalachian State,5,142,https://www.sports-reference.com/cfb/players/ronald-blair-1.html,74.0,284.0,5.15,32.0,30.0,113.0,7.95,4.53,Sun Belt,25.0,2.0,66.0,48.0,114.0,32.0,12.5,1.0,30.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Austin Blythe,C,Iowa,7,248,https://www.sports-reference.com/cfb/players/austin-blythe-1.html,74.0,298.0,5.36,29.0,27.5,99.0,7.52,4.53,Big Ten,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Briean Boddy-Calhoun,CB,Minnesota,0,0,https://www.sports-reference.com/cfb/players/briean-boddy-calhoun-1.html,69.0,193.0,4.47,10.0,35.0,123.0,7.16,4.22,Big Ten,25.0,3.0,80.0,24.0,104.0,3.5,0.5,10.0,169.0,2.0,15.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Evan Boehm,C,Missouri,4,128,https://www.sports-reference.com/cfb/players/evan-boehm-1.html,74.0,302.0,5.33,24.0,28.5,96.0,7.52,4.69,SEC,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Devante Bond,OLB,Oklahoma,6,183,https://www.sports-reference.com/cfb/players/devante-bond-1.html,73.0,235.0,4.7,21.0,37.5,121.0,7.07,4.36,Big 12,19.0,2.0,46.0,27.0,73.0,11.0,3.0,0.0,0.0,0.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Devontae Booker,RB,Utah,4,136,https://www.sports-reference.com/cfb/players/devontae-booker-1.html,71.0,219.0,4.56,22.0,,,,,Pac-12,23.0,2.0,,,,,,,,,,,,,,,,,,,,,80.0,622.0,7.8,2.0,560.0,2773.0,5.0,21.0,640.0,3395.0,5.3,23.0,,,,,,,,,,,,,,,,,,2016
Joey Bosa,DE,Ohio State,1,3,https://www.sports-reference.com/cfb/players/joey-bosa-1.html,77.0,269.0,4.86,24.0,32.0,120.0,6.89,4.21,Big Ten,38.0,3.0,101.0,47.0,148.0,51.0,26.0,1.0,28.0,0.0,6.0,2.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Tyler Boyd,WR,Pittsburgh,2,55,https://www.sports-reference.com/cfb/players/tyler-boyd-1.html,73.0,197.0,4.58,11.0,34.0,119.0,6.9,4.35,ACC,38.0,3.0,,,,,,,,,,,,,,,,,,,,,254.0,3361.0,13.2,21.0,63.0,520.0,8.3,1.0,317.0,3881.0,12.2,22.0,,,,,,,,,,,,,,,,,,2016
Trevone Boykin,QB,TCU,0,0,https://www.sports-reference.com/cfb/players/trevone-boykin-1.html,72.0,212.0,4.77,,32.0,110.0,,4.4,Big 12,48.0,4.0,,,,,,,,,,,,,,829.0,1355.0,61.2,10727.0,86.0,37.0,143.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Jake Brendel,C,UCLA,0,0,https://www.sports-reference.com/cfb/players/jake-brendel-1.html,75.0,303.0,5.01,25.0,28.0,108.0,7.31,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Jacoby Brissett,QB,North Carolina State,3,91,https://www.sports-reference.com/cfb/players/jacoby-brissett-2.html,76.0,231.0,4.94,,31.0,113.0,7.17,4.53,SEC,39.0,4.0,,,,,,,,,,,,,,458.0,765.0,59.9,5268.0,43.0,11.0,133.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Kentrell Brothers,OLB,Missouri,5,160,https://www.sports-reference.com/cfb/players/kentrell-brothers-1.html,72.0,245.0,4.89,19.0,28.5,110.0,6.99,4.11,SEC,40.0,3.0,184.0,173.0,357.0,23.5,4.5,5.0,39.0,0.0,11.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Anthony Brown,CB,Purdue,6,189,https://www.sports-reference.com/cfb/players/anthony-brown-6.html,71.0,192.0,4.33,19.0,35.0,115.0,7.03,4.19,Big Ten,36.0,3.0,137.0,52.0,189.0,9.5,1.5,4.0,4.0,0.0,19.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
