Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,Year
Irv Smith,TE,Alabama,2,50,https://www.sports-reference.com/cfb/players/irv-smith-jr-1.html,74.0,242.0,4.63,19.0,32.5,110.0,7.32,4.33,SEC,24.0,2.0,101.45,51.46,153.0,10.39,2.96,4.91,73.98,0.06,15.95,1.05,23.41,1.15,2.67,58.0,838.0,14.4,10.0,0.0,0.0,3.65,0.0,58.0,838.0,14.4,10.0,2019
Jaylen Smith,WR,Louisville,0,0,https://www.sports-reference.com/cfb/players/jaylen-smith-1.html,74.0,219.0,4.47,14.0,34.5,122.0,7.55,4.48,ACC,44.0,4.0,97.3,50.94,148.0,9.48,3.17,3.97,67.26,0.0,13.15,0.34,4.86,0.42,1.44,152.0,2505.0,16.5,15.0,0.0,0.0,4.62,0.0,152.0,2505.0,16.5,15.0,2019
Kaden Smith,TE,Stanford,6,176,https://www.sports-reference.com/cfb/players/kaden-smith-1.html,77.0,255.0,4.92,15.0,32.0,108.0,7.08,4.47,Pac-12,20.0,2.0,101.77,50.91,153.0,8.56,2.62,2.67,41.89,0.0,13.76,0.65,19.36,0.89,2.14,70.0,1049.0,15.0,7.0,0.0,0.0,2.1,0.0,70.0,1049.0,15.0,7.0,2019
Saivion Smith,CB,Alabama,0,0,https://www.sports-reference.com/cfb/players/saivion-smith-2.html,73.0,199.0,4.52,11.0,33.0,121.0,7.09,4.37,SEC,14.0,1.0,36.0,24.0,60.0,0.5,0.0,3.0,71.0,1.0,5.0,0.0,9.51,0.6,1.0,43.36,363.44,6.92,2.5,360.81,1993.08,5.46,13.56,404.17,2356.52,5.66,16.06,2019
Sutton Smith,EDGE,Northern Illinois,6,175,https://www.sports-reference.com/cfb/players/sutton-smith-1.html,72.0,233.0,4.69,25.0,31.5,118.0,6.75,4.32,MAC,37.0,3.0,93.0,46.0,139.0,58.5,30.0,0.0,0.0,0.0,4.0,6.0,23.19,3.0,7.0,37.17,361.77,11.1,2.24,197.44,1025.53,4.63,11.41,234.61,1387.3,6.9,13.64,2019
Benny Snell,RB,Kentucky,4,122,https://www.sports-reference.com/cfb/players/benjamin-snell-jr-1.html,70.0,224.0,4.66,16.0,29.5,119.0,7.07,4.33,SEC,39.0,3.0,107.51,56.21,164.0,10.43,3.53,2.21,42.64,0.06,11.98,1.63,47.62,1.01,2.45,29.0,216.0,7.4,0.0,737.0,3873.0,5.3,48.0,766.0,4089.0,5.3,48.0,2019
Jace Sternberger,TE,Texas A&M,3,75,https://www.sports-reference.com/cfb/players/jace-sternberger-1.html,76.0,251.0,4.75,17.0,31.5,113.0,7.19,4.31,Big 12,15.0,2.0,104.85,55.55,160.0,10.55,3.31,3.4,56.09,0.0,13.8,0.88,13.22,0.75,2.71,48.0,832.0,17.3,10.0,1.0,4.0,4.0,0.0,49.0,836.0,17.1,10.0,2019
Jarrett Stidham,QB,Auburn,4,133,https://www.sports-reference.com/cfb/players/jarrett-stidham-1.html,74.0,218.0,4.81,16.91,31.0,110.0,7.28,4.33,Big 12,37.0,3.0,77.99,40.22,118.0,7.96,1.73,5.22,109.47,0.69,9.45,0.43,0.0,0.69,1.4,40.51,289.22,7.37,1.12,548.62,2773.92,4.68,27.73,589.14,3063.14,4.85,28.85,2019
Ty Summers,LB,TCU,7,226,https://www.sports-reference.com/cfb/players/ty-summers-1.html,73.0,241.0,4.51,27.0,36.0,123.0,7.12,4.23,Big 12,47.0,4.0,167.0,150.0,317.0,22.5,10.5,2.0,12.0,0.0,9.0,1.0,12.91,0.46,1.0,59.78,621.31,12.32,4.85,25.28,140.28,3.8,1.32,85.06,761.59,6.33,6.17,2019
Montez Sweat,EDGE,Mississippi State,1,26,https://www.sports-reference.com/cfb/players/montez-sweat-1.html,78.0,260.0,4.41,21.0,36.0,125.0,7.0,4.29,Big Ten,27.0,3.0,48.0,53.0,101.0,30.0,22.5,0.0,0.0,0.0,0.0,1.0,9.24,0.5,1.0,21.69,237.33,10.57,2.24,28.66,178.68,4.7,2.36,50.36,416.01,8.72,4.6,2019
Tommy Sweeney,TE,Boston Col.,7,228,https://www.sports-reference.com/cfb/players/tommy-sweeney-1.html,76.0,251.0,4.83,17.0,32.1,111.8,7.16,4.32,ACC,38.0,4.0,105.07,54.68,160.0,10.37,3.17,4.0,64.86,0.04,14.73,0.95,14.63,0.86,2.69,99.0,1281.0,12.9,10.0,0.0,0.0,2.48,0.0,99.0,1281.0,12.9,10.0,2019
William Sweet,OT,North Carolina,0,0,https://www.sports-reference.com/cfb/players/william-sweet-1.html,78.0,313.0,5.27,23.0,30.5,111.0,8.01,5.0,ACC,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,60.27,9.9,0.3,139.94,696.44,1.78,7.68,149.15,756.71,7.77,7.99,2019
Jordan Ta'amu,QB,Mississippi,0,0,https://www.sports-reference.com/cfb/players/jordan-taamu-1.html,75.0,221.0,4.77,17.23,27.5,109.0,7.06,4.36,SEC,19.0,2.0,114.72,66.77,181.0,11.23,3.27,1.78,25.72,0.0,11.21,0.79,0.0,0.59,2.14,85.36,952.17,9.1,8.23,444.29,2417.88,5.05,25.34,529.65,3370.05,7.15,33.57,2019
Sione Takitaki,LB,BYU,3,80,https://www.sports-reference.com/cfb/players/sione-takitaki-1.html,73.0,238.0,4.63,24.0,37.0,125.0,7.21,4.28,Ind,41.0,4.0,145.0,96.0,241.0,33.5,15.5,0.0,0.0,0.0,5.0,2.0,2.57,0.39,2.0,65.86,807.98,15.62,6.85,14.72,71.95,3.32,1.38,80.58,879.93,11.46,8.23,2019
Trevon Tate,OL,Memphis,0,0,https://www.sports-reference.com/cfb/players/trevon-tate-1.html,74.0,293.0,5.29,22.0,29.71,105.42,7.95,4.81,American,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,42.5,6.87,0.0,111.2,558.79,4.01,6.54,118.11,601.28,4.02,6.54,2019
Jahlani Tavai,LB,Hawaii,2,43,https://www.sports-reference.com/cfb/players/jahlani-tavai-1.html,74.0,250.0,4.83,19.57,31.69,109.7,7.13,4.35,MWC,47.0,4.0,220.0,170.0,390.0,41.0,16.5,2.0,8.0,0.0,5.0,3.0,25.72,0.84,3.0,38.2,322.3,8.22,2.97,121.86,526.61,2.91,5.93,160.05,848.9,4.58,8.9,2019
Jawaan Taylor,OT,Florida,2,35,https://www.sports-reference.com/cfb/players/jawaan-taylor-1.html,77.0,312.0,5.06,24.0,29.55,106.71,7.92,4.89,SEC,8.0,3.0,11.0,13.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.51,7.0,11.2,0.29,0.49,1.29,1.39,0.37,1.0,8.29,8.29,0.66,2019
Marvell Tell,S,USC,5,144,https://www.sports-reference.com/cfb/players/marvell-tell-iii-1.html,74.0,198.0,4.5,13.1,42.0,136.0,6.63,4.01,Pac-12,47.0,4.0,127.0,93.0,220.0,6.5,0.5,5.0,60.0,1.0,13.0,1.0,2.32,0.84,1.0,43.82,609.19,13.25,6.41,3.79,43.42,3.4,0.39,47.61,652.61,13.05,6.81,2019
Derrek Thomas,CB,Baylor,0,0,https://www.sports-reference.com/cfb/players/derrek-thomas-2.html,75.0,189.0,4.44,8.0,39.5,131.0,6.89,4.04,,36.0,3.0,55.53,25.49,81.0,3.72,1.91,6.21,60.5,1.05,15.0,0.11,2.53,0.0,0.17,61.3,679.26,9.91,4.2,334.11,1889.82,6.12,15.6,395.41,2569.08,8.65,19.81,2019
Cody Thompson,WR,Toledo,0,0,https://www.sports-reference.com/cfb/players/cody-thompson-1.html,73.0,205.0,4.57,19.0,38.5,119.0,6.87,4.03,MAC,50.0,5.0,110.2,67.84,178.0,10.56,2.07,6.06,98.39,1.04,10.15,0.37,30.99,0.83,1.65,181.0,3312.0,18.3,30.0,0.0,0.0,1.96,0.0,181.0,3312.0,18.3,30.0,2019
Deionte Thompson,S,Alabama,5,139,https://www.sports-reference.com/cfb/players/deionte-thompson-1.html,73.0,195.0,4.54,11.0,32.05,117.95,6.99,4.18,SEC,29.0,3.0,69.0,43.0,112.0,4.5,0.0,3.0,86.0,0.0,7.0,1.0,12.74,0.32,3.0,57.79,747.79,11.53,6.37,161.68,829.32,7.07,8.74,219.47,1577.11,11.16,15.11,2019
Juan Thornhill,S,Virginia,2,63,https://www.sports-reference.com/cfb/players/juan-thornhill-1.html,72.0,205.0,4.42,21.0,44.0,141.0,7.19,4.31,ACC,38.0,4.0,141.0,67.0,208.0,12.0,1.5,13.0,177.0,0.0,26.0,0.0,45.9,0.78,1.0,43.51,442.42,10.32,2.58,189.39,1205.44,4.81,10.34,232.91,1647.86,8.38,12.92,2019
Clayton Thorson,QB,Northwestern,5,167,https://www.sports-reference.com/cfb/players/clayton-thorson-1.html,76.0,222.0,4.59,15.19,33.5,117.5,6.97,4.16,Big Ten,53.0,4.0,129.67,68.25,198.0,9.38,1.25,6.0,59.25,0.25,15.83,1.17,8.95,0.47,1.83,0.0,0.0,7.21,0.0,1.0,1.01,1.0,0.0,1.0,1.01,1.0,0.0,2019
Jerry Tillery,DL,Notre Dame,1,28,https://www.sports-reference.com/cfb/players/jerry-tillery-2.html,78.0,295.0,4.93,23.0,32.0,115.0,7.45,4.33,Ind,42.0,4.0,71.0,63.0,134.0,24.0,13.5,0.0,0.0,0.0,0.0,0.0,13.93,0.37,4.0,4.03,30.57,7.15,0.14,1.34,6.98,0.96,0.48,5.37,37.55,3.43,0.62,2019
Cole Tracy,K,LSU,0,0,https://www.sports-reference.com/cfb/players/cole-tracy-1.html,70.0,184.0,4.76,16.89,33.26,121.03,6.86,4.19,SEC,13.0,1.0,91.79,56.59,148.0,10.89,2.57,1.24,15.61,0.0,3.57,0.68,12.78,0.4,1.83,27.75,237.41,8.61,1.47,256.21,1533.34,3.72,13.98,283.96,1770.75,3.91,15.45,2019
Drue Tranquill,LB,Notre Dame,4,130,https://www.sports-reference.com/cfb/players/drue-tranquill-1.html,74.0,234.0,4.57,31.0,37.5,122.0,6.94,4.14,Ind,52.0,5.0,184.0,108.0,292.0,25.5,5.5,3.0,-2.0,0.0,11.0,5.0,11.01,0.23,1.0,62.51,657.18,11.94,4.56,124.14,673.93,3.99,7.41,186.66,1331.11,6.18,11.97,2019
D'Andre Walker,EDGE,Georgia,5,168,https://www.sports-reference.com/cfb/players/dandre-walker-1.html,74.0,251.0,4.81,23.08,31.96,110.41,7.29,4.34,SEC,38.0,4.0,65.0,47.0,112.0,27.5,13.5,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,27.1,223.49,8.08,1.7,69.59,293.11,2.93,3.92,96.69,516.6,5.18,5.62,2019
Kahale Warring,TE,San Diego State,3,86,https://www.sports-reference.com/cfb/players/kahale-warring-1.html,77.0,252.0,4.67,19.0,36.5,122.0,7.21,4.25,MWC,19.0,3.0,107.0,59.59,167.0,12.56,4.59,3.02,57.26,0.06,12.19,0.99,0.0,0.72,3.12,51.0,637.0,12.5,8.0,0.0,0.0,-0.39,0.0,51.0,637.0,12.5,8.0,2019
Armon Watts,DL,Arkansas,6,190,https://www.sports-reference.com/cfb/players/armon-watts-1.html,77.0,300.0,5.23,28.63,32.79,110.38,7.37,4.46,SEC,19.0,4.0,29.0,27.0,56.0,8.5,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.49,3.0,1.15,7.15,5.36,0.13,1.13,-1.96,-2.47,0.13,2.28,5.19,-2.24,0.26,2019
Jamarius Way,WR,South Alabama,0,0,https://www.sports-reference.com/cfb/players/jamarius-way-1.html,75.0,215.0,4.63,16.0,32.5,119.0,7.07,4.66,Sun Belt,23.0,2.0,94.03,50.54,145.0,8.15,2.6,4.41,63.65,0.2,13.52,0.99,0.0,0.53,1.79,108.0,1617.0,15.0,11.0,7.0,38.0,5.4,0.0,115.0,1655.0,14.4,11.0,2019
Mike Weber,RB,Ohio State,7,218,https://www.sports-reference.com/cfb/players/mike-weber-1.html,70.0,211.0,4.47,22.0,33.5,116.99,7.09,4.23,Big Ten,38.0,3.0,99.28,58.64,158.0,9.36,2.31,4.37,65.48,0.0,14.39,0.89,0.0,0.77,2.67,54.0,297.0,5.5,1.0,455.0,2676.0,5.9,24.0,509.0,2973.0,5.8,25.0,2019
Ken Webster,CB,Mississippi,7,252,https://www.sports-reference.com/cfb/players/kendarius-webster-1.html,71.0,203.0,4.43,18.0,43.0,133.0,6.85,4.14,SEC,37.0,4.0,92.0,30.0,122.0,5.5,0.0,3.0,28.0,0.0,20.0,0.0,0.0,0.17,0.0,55.01,555.21,10.28,4.3,531.33,3135.36,5.89,28.25,586.34,3690.58,6.32,32.55,2019
Trevon Wesco,TE,West Virginia,4,121,https://www.sports-reference.com/cfb/players/trevon-wesco-1.html,75.0,267.0,4.89,24.0,31.0,117.0,7.18,4.38,Big 12,12.0,3.0,101.72,55.3,157.0,11.68,3.85,3.44,59.07,0.0,12.34,1.07,2.0,0.69,2.87,28.0,373.0,13.3,2.0,1.0,3.0,3.0,0.0,29.0,376.0,13.0,2.0,2019
Antoine Wesley,WR,Texas Tech,0,0,https://www.sports-reference.com/cfb/players/antoine-wesley-1.html,76.0,206.0,4.58,6.0,37.0,117.0,7.07,4.26,Big 12,19.0,3.0,108.62,61.52,170.0,10.78,2.31,5.93,67.25,0.21,12.2,0.81,0.0,0.51,2.24,98.0,1547.0,15.8,9.0,1.0,-2.0,-2.0,0.0,99.0,1545.0,15.6,9.0,2019
Darius West,S,Kentucky,0,0,https://www.sports-reference.com/cfb/players/darius-west-1.html,71.0,208.0,4.39,19.0,33.5,113.0,7.0,4.25,SEC,32.0,3.0,116.0,72.0,188.0,4.5,0.0,4.0,72.0,0.0,7.0,1.0,2.42,1.0,2.0,62.8,741.48,10.97,9.65,103.53,592.25,4.91,8.61,166.32,1333.73,9.56,18.25,2019
Devin White,LB,LSU,1,5,https://www.sports-reference.com/cfb/players/devin-white-1.html,72.0,237.0,4.42,22.0,39.5,118.0,7.07,4.17,SEC,34.0,3.0,114.0,172.0,286.0,28.5,8.5,1.0,3.0,0.0,9.0,3.0,4.56,0.13,4.0,42.56,490.6,15.07,4.61,37.15,156.47,4.49,3.99,79.71,647.07,8.76,8.6,2019
Christian Wilkins,DL,Clemson,1,13,https://www.sports-reference.com/cfb/players/christian-wilkins-1.html,75.0,315.0,5.04,28.0,29.5,107.0,7.78,4.55,ACC,55.0,4.0,94.0,98.0,192.0,40.5,16.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,2.0,1.95,13.88,5.35,0.0,39.29,175.88,2.29,0.0,41.24,189.76,4.0,0.0,2019
Dexter Williams,RB,Notre Dame,6,194,https://www.sports-reference.com/cfb/players/dexter-williams-1.html,71.0,212.0,4.57,17.0,36.0,130.0,7.0,4.16,Ind,35.0,4.0,147.9,83.84,232.0,17.37,5.39,7.73,104.99,0.72,10.98,1.73,38.15,0.92,4.57,22.0,162.0,7.4,2.0,257.0,1636.0,6.4,20.0,279.0,1798.0,6.4,22.0,2019
Greedy Williams,CB,LSU,2,46,https://www.sports-reference.com/cfb/players/greedy-williams-1.html,74.0,185.0,4.37,11.65,35.27,120.56,6.74,4.09,SEC,24.0,2.0,49.0,22.0,71.0,1.5,0.0,8.0,52.0,0.0,19.0,0.0,9.69,0.48,0.0,35.87,360.15,8.62,2.79,328.8,1848.92,5.52,17.05,364.68,2209.07,5.85,19.84,2019
James Williams,RB,Washington State,0,0,https://www.sports-reference.com/cfb/players/james-williams-13.html,69.0,197.0,4.58,15.09,36.5,118.0,7.01,4.25,Pac-12,39.0,3.0,110.46,61.24,172.0,9.38,2.64,2.51,26.56,0.0,12.23,1.21,31.36,1.51,2.29,202.0,1437.0,7.1,8.0,316.0,1540.0,4.9,19.0,518.0,2977.0,5.7,27.0,2019
Jonah Williams,OT,Alabama,1,11,https://www.sports-reference.com/cfb/players/jonah-williams-1.html,76.0,302.0,5.12,23.0,28.0,100.0,8.01,4.79,,4.0,1.0,1.27,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,11.81,71.6,4.34,0.0,184.11,912.63,-0.55,9.84,195.92,984.23,-1.16,9.84,2019
Joejuan Williams,CB,Vanderbilt,2,45,https://www.sports-reference.com/cfb/players/joejuan-williams-1.html,76.0,211.0,4.64,17.0,34.95,118.45,6.87,4.13,SEC,34.0,3.0,95.0,24.0,119.0,6.0,0.0,4.0,8.0,0.0,25.0,0.0,4.07,0.21,1.0,32.73,262.09,7.51,2.66,273.33,1548.24,5.54,17.47,306.05,1810.33,5.83,20.13,2019
Quinnen Williams,DL,Alabama,1,3,https://www.sports-reference.com/cfb/players/quinnen-williams-1.html,75.0,303.0,4.83,28.77,30.5,112.0,7.32,4.37,SEC,24.0,2.0,56.0,35.0,91.0,26.0,10.0,0.0,0.0,0.0,1.0,0.0,7.39,0.22,0.0,4.81,35.47,6.54,0.23,1.09,-0.59,-2.22,0.23,5.9,34.88,0.06,0.45,2019
Trayveon Williams,RB,Texas A&M,6,182,https://www.sports-reference.com/cfb/players/trayveon-williams-1.html,68.0,206.0,4.51,19.0,33.0,121.0,7.44,4.44,SEC,38.0,3.0,108.84,55.99,165.0,8.85,1.92,5.61,74.68,0.08,15.51,1.41,27.62,0.79,2.57,66.0,561.0,8.5,1.0,600.0,3615.0,6.0,34.0,666.0,4176.0,6.3,35.0,2019
Gerald Willis,DL,Miami (FL),0,0,https://www.sports-reference.com/cfb/players/gerald-willis-iii-1.html,74.0,302.0,4.98,29.74,27.24,105.66,7.47,4.61,ACC,12.0,1.0,34.0,25.0,59.0,18.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.66,0.0,1.28,7.96,5.33,0.14,1.14,-1.84,-2.41,0.14,2.42,6.12,-2.15,0.28,2019
Khari Willis,S,Michigan State,4,109,https://www.sports-reference.com/cfb/players/khari-willis-1.html,71.0,213.0,4.52,22.0,34.5,118.0,7.06,4.2,Big Ten,41.0,4.0,95.0,94.0,189.0,7.0,3.0,4.0,50.0,0.0,13.0,0.0,17.61,1.1,2.0,36.71,368.2,9.63,4.0,268.48,1643.29,5.25,14.57,305.19,2011.48,7.9,18.57,2019
Caleb Wilson,TE,UCLA,7,254,https://www.sports-reference.com/cfb/players/caleb-wilson-2.html,76.0,240.0,4.56,15.73,29.0,113.0,7.2,4.4,Pac-12,24.0,3.0,106.52,55.07,162.0,10.12,3.49,1.69,31.9,0.0,11.85,0.58,13.39,1.05,2.21,114.0,1675.0,14.7,5.0,1.0,4.0,4.0,0.0,115.0,1679.0,14.6,5.0,2019
Donovan Wilson,S,Texas A&M,6,213,https://www.sports-reference.com/cfb/players/donovan-wilson-2.html,72.0,199.0,4.53,18.0,36.0,127.0,7.0,4.26,SEC,43.0,4.0,119.0,80.0,199.0,21.5,5.0,8.0,76.0,1.0,7.0,2.0,15.11,0.49,4.0,35.47,444.83,12.33,5.38,60.75,375.4,4.41,4.7,96.22,820.23,11.43,10.08,2019
Mack Wilson,LB,Alabama,5,155,https://www.sports-reference.com/cfb/players/mack-wilson-1.html,73.0,240.0,4.75,21.58,32.0,117.0,7.16,4.34,SEC,34.0,3.0,59.0,54.0,113.0,7.0,1.0,6.0,39.0,1.0,7.0,1.0,13.96,0.71,0.0,19.08,239.31,14.97,3.04,47.84,191.86,4.23,5.48,66.91,431.17,7.6,8.51,2019
Andrew Wingard,S,Wyoming,0,0,https://www.sports-reference.com/cfb/players/andrew-wingard-1.html,72.0,209.0,4.56,9.0,36.5,121.0,7.08,4.2,MWC,51.0,4.0,274.0,180.0,454.0,25.0,4.0,10.0,87.0,0.0,8.0,1.0,28.19,1.24,5.0,57.74,573.7,11.42,7.57,171.78,924.53,4.3,11.14,229.52,1498.23,9.83,18.71,2019
Chase Winovich,EDGE,Michigan,3,77,https://www.sports-reference.com/cfb/players/chase-winovich-1.html,75.0,256.0,4.59,18.0,30.5,116.0,6.94,4.11,Big Ten,41.0,4.0,86.0,80.0,166.0,43.0,18.5,0.0,0.0,0.0,1.0,3.0,8.91,0.81,3.0,22.64,205.04,9.41,2.6,49.35,296.33,5.64,3.35,71.99,501.38,7.14,5.95,2019
Daniel Wise,DL,Kansas,0,0,https://www.sports-reference.com/cfb/players/daniel-wise-1.html,75.0,281.0,5.28,22.0,27.5,112.0,7.53,4.37,Big 12,42.0,4.0,108.0,44.0,152.0,43.0,17.0,0.0,0.0,0.0,2.0,1.0,0.61,0.21,2.0,6.85,69.52,11.13,0.7,13.07,36.46,3.99,2.66,19.92,105.98,6.37,3.36,2019
Mitch Wishnowsky,P,Utah,4,110,https://www.sports-reference.com/cfb/players/mitch-wishnowsky-1.html,74.0,218.0,4.63,15.1,32.5,117.0,6.98,4.36,Pac-12,40.0,3.0,91.03,57.46,148.0,13.3,2.64,6.91,149.7,1.13,8.76,1.66,0.0,0.0,1.25,53.45,410.42,7.89,1.09,411.62,2060.67,4.27,17.08,465.07,2471.09,4.57,18.18,2019
Zedrick Woods,S,Mississippi,0,0,https://www.sports-reference.com/cfb/players/zedrick-woods-1.html,71.0,205.0,4.29,19.0,34.5,122.0,7.0,4.15,SEC,47.0,4.0,126.0,105.0,231.0,5.5,0.5,6.0,91.0,1.0,11.0,2.0,3.42,1.0,2.0,54.98,542.5,10.55,3.05,219.11,1222.12,4.98,13.7,274.09,1764.62,8.41,16.75,2019
Evan Worthington,S,Colorado,0,0,https://www.sports-reference.com/cfb/players/evan-worthington-1.html,74.0,212.0,4.63,17.0,33.5,121.0,7.07,4.37,Pac-12,21.0,2.0,83.0,45.0,128.0,10.0,2.0,4.0,44.0,0.0,10.0,1.0,36.8,0.68,1.0,68.92,930.15,12.08,8.98,120.11,802.11,5.86,4.95,189.03,1732.27,11.58,13.93,2019
Renell Wren,DL,Arizona State,4,125,https://www.sports-reference.com/cfb/players/renell-wren-1.html,77.0,318.0,5.01,30.0,32.0,118.0,7.65,4.53,Pac-12,29.0,4.0,51.0,30.0,81.0,14.5,3.0,1.0,-4.0,0.0,5.0,0.0,0.0,0.14,1.0,1.43,8.23,3.16,0.0,25.16,111.91,0.91,0.0,26.59,120.14,1.98,0.0,2019
Oshane Ximines,EDGE,Old Dominion,3,95,https://www.sports-reference.com/cfb/players/oshane-ximines-1.html,75.0,253.0,4.78,24.0,34.0,118.0,7.13,4.57,CUSA,50.0,5.0,92.0,84.0,176.0,51.0,32.5,1.0,14.0,0.0,12.0,2.0,4.29,0.67,11.0,24.43,211.1,8.44,2.51,50.55,271.77,4.12,3.08,74.98,482.86,5.97,5.59,2019
Rock Ya-Sin,CB,Temple,2,34,https://www.sports-reference.com/cfb/players/rock-ya-sin-1.html,72.0,192.0,4.51,18.0,39.5,120.0,7.31,4.31,American,12.0,1.0,36.0,11.0,47.0,2.0,0.0,2.0,-1.0,0.0,12.0,0.0,0.0,0.29,0.0,31.63,302.52,7.94,2.42,295.07,1743.53,5.55,16.17,326.69,2046.05,5.83,18.59,2019
Trey Adams,OL,Washington,0,0,https://www.sports-reference.com/cfb/players/trey-adams-2.html,80.0,318.0,5.6,23.02,24.5,92.0,7.94,4.88,Pac-12,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92,56.49,7.99,0.27,131.43,654.87,2.78,7.21,140.35,711.36,6.88,7.48,2020
Hakeem Adeniji,OL,Kansas,6,180,https://www.sports-reference.com/cfb/players/hakeem-adeniji-1.html,76.0,302.0,5.17,26.0,34.0,115.0,7.46,4.51,,4.0,2.0,1.48,0.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,13.53,95.42,8.09,0.19,95.09,471.0,0.88,5.24,108.62,566.43,3.27,5.43,2020
McTelvin Agim,DL,Arkansas,3,95,https://www.sports-reference.com/cfb/players/mctelvin-agim-1.html,75.0,309.0,4.98,27.0,28.32,103.73,7.6,4.62,SEC,43.0,4.0,62.0,79.0,141.0,31.0,14.5,0.0,0.0,0.0,4.0,2.0,38.55,0.73,6.0,2.78,18.25,4.92,0.2,15.99,69.26,-0.08,0.2,18.77,87.51,3.03,0.4,2020
Salvon Ahmed,RB,Washington,0,0,https://www.sports-reference.com/cfb/players/salvon-ahmed-1.html,71.0,197.0,4.62,17.88,34.5,120.0,6.94,4.18,Pac-12,39.0,3.0,127.58,60.93,189.0,15.21,3.73,4.2,58.12,0.41,9.46,1.31,22.11,1.04,2.65,50.0,331.0,6.6,0.0,353.0,2016.0,5.7,21.0,403.0,2347.0,5.8,21.0,2020
Brandon Aiyuk,WR,Arizona State,1,25,https://www.sports-reference.com/cfb/players/brandon-aiyuk-1.html,72.0,205.0,4.5,11.0,40.0,128.0,6.88,4.1,Pac-12,25.0,2.0,126.2,68.04,194.0,12.57,2.34,6.21,88.53,0.95,9.95,1.21,0.0,0.36,1.79,98.0,1666.0,17.0,11.0,1.0,6.0,6.0,0.0,99.0,1672.0,16.9,11.0,2020
Cam Akers,RB,Florida State,2,52,https://www.sports-reference.com/cfb/players/cam-akers-1.html,70.0,217.0,4.47,20.0,35.5,122.0,7.0,4.42,ACC,36.0,3.0,112.68,63.19,176.0,10.31,3.27,3.97,76.74,0.11,12.21,1.01,0.0,0.52,2.31,69.0,486.0,7.0,7.0,586.0,2875.0,4.9,27.0,655.0,3361.0,5.1,34.0,2020
Bradlee Anae,DL,Utah,5,179,https://www.sports-reference.com/cfb/players/bradlee-anae-1.html,75.0,257.0,4.93,25.0,31.0,115.0,7.44,4.43,Pac-12,39.0,4.0,83.0,48.0,131.0,40.0,29.5,0.0,0.0,0.0,3.0,2.0,25.91,0.34,5.0,22.71,191.02,9.03,2.92,93.35,497.74,5.64,4.87,116.06,688.76,6.89,7.8,2020
Tremayne Anchrum,OL,Clemson,7,250,https://www.sports-reference.com/cfb/players/tremayne-anchrum-1.html,74.0,314.0,5.21,26.0,24.5,104.0,7.71,4.8,ACC,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,3.86,3.86,0.14,0.05,1.03,1.31,0.05,1.0,4.88,4.88,0.19,2020
Jet Anderson,RB,TCU,0,0,https://www.sports-reference.com/cfb/players/darius-anderson-1.html,70.0,208.0,4.61,19.0,36.0,128.0,6.77,4.19,Big 12,43.0,4.0,113.72,61.73,175.0,11.2,3.02,4.52,66.14,0.39,11.72,0.96,29.72,0.89,2.26,43.0,224.0,5.2,0.0,430.0,2418.0,5.6,18.0,473.0,2642.0,5.6,18.0,2020
Damon Arnette,CB,Ohio State,1,19,https://www.sports-reference.com/cfb/players/damon-arnette-1.html,72.0,195.0,4.56,15.86,35.03,123.15,7.15,4.22,Big Ten,49.0,4.0,104.0,36.0,140.0,4.0,0.0,5.0,132.0,1.0,22.0,1.0,20.92,0.56,2.0,18.07,117.07,5.92,1.22,153.65,779.08,4.94,5.6,171.72,896.15,5.07,6.83,2020
