Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,Year
Nigel Bradham,OLB,Florida State,4,105,https://www.sports-reference.com/cfb/players/nigel-bradham-1.html,74.0,241.0,4.56,24.0,37.0,121.0,7.18,4.37,,35.0,3.0,170.71,109.86,281.0,22.98,4.49,4.05,36.29,0.0,5.16,2.18,0.0,0.23,4.53,59.16,786.61,13.91,7.45,58.97,448.37,4.19,5.38,118.13,1234.98,12.32,12.83,2012
Andre Branch,DE,Clemson,2,38,https://www.sports-reference.com/cfb/players/andre-branch-1.html,76.0,259.0,4.67,19.0,32.5,120.0,7.19,4.25,,37.0,4.0,75.68,47.35,123.0,26.53,15.32,2.27,25.95,0.14,4.95,1.07,0.0,0.68,3.83,17.83,195.44,10.29,1.67,41.96,251.15,5.36,3.38,59.8,446.6,7.56,5.05,2012
LaVon Brazill,WR,Ohio,6,206,https://www.sports-reference.com/cfb/players/lavon-brazill-1.html,71.0,192.0,4.43,11.0,32.5,116.71,7.01,4.26,,40.0,4.0,96.28,56.01,152.0,5.42,0.65,5.1,48.32,0.18,13.18,1.96,24.98,0.87,1.85,92.0,1324.0,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.5,14.45,8.5,2012
Michael Brockers,DT,LSU,1,14,https://www.sports-reference.com/cfb/players/michael-brockers-1.html,77.0,322.0,5.31,28.07,26.5,105.0,7.46,4.81,,34.0,3.0,42.72,50.85,94.0,12.67,4.22,0.0,0.0,0.0,4.34,0.27,0.0,0.0,0.87,1.94,14.39,5.27,0.0,41.54,185.51,2.68,0.0,43.48,199.9,3.79,0.0,2012
Ron Brooks,CB,LSU,4,124,https://www.sports-reference.com/cfb/players/ron-brooks-1.html,70.0,190.0,4.37,12.0,38.0,120.0,6.98,4.2,,36.0,3.0,87.48,36.64,124.0,12.54,1.89,11.33,352.51,4.68,33.66,2.88,6.15,0.99,3.79,38.25,406.54,8.87,2.73,333.5,1925.94,5.73,17.6,371.75,2332.49,6.13,20.33,2012
Charles Brown,CB,North Carolina,0,0,https://www.sports-reference.com/cfb/players/charles-brown-1.html,69.0,202.0,4.53,18.0,35.5,114.0,6.94,4.06,,36.0,3.0,119.17,47.66,167.0,5.71,0.74,6.06,69.71,0.54,17.02,0.96,0.0,0.1,1.79,41.32,325.89,6.98,1.94,403.27,2246.36,5.28,22.91,444.59,2572.25,5.45,24.84,2012
James Brown,OG,Troy,0,0,https://www.sports-reference.com/cfb/players/james-brown-1.html,75.0,306.0,5.19,24.0,25.5,102.0,7.7,4.78,,1.0,1.0,1.24,0.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.34,0.67,3.84,0.0,0.66,-2.39,-2.47,0.15,1.0,-1.72,-1.72,0.15,2012
Zach Brown,OLB,North Carolina,2,52,https://www.sports-reference.com/cfb/players/zach-brown-2.html,73.0,244.0,4.44,22.64,33.5,116.0,7.05,4.31,,35.0,3.0,117.82,74.57,192.0,19.92,6.82,3.49,71.68,0.34,9.15,1.5,0.0,0.0,1.97,73.48,942.95,12.21,7.86,0.64,1.52,2.47,0.18,74.12,944.47,9.17,8.04,2012
Ryan Broyles,WR,Oklahoma,2,54,https://www.sports-reference.com/cfb/players/ryan-broyles-1.html,70.0,192.0,4.57,21.0,37.48,118.28,6.87,4.12,,40.0,4.0,101.21,62.9,164.0,8.62,2.01,5.17,69.97,0.51,13.98,1.33,19.8,0.93,2.71,91.93,1322.97,14.55,8.49,4.0,69.43,11.64,0.0,95.93,1392.4,14.45,8.49,2012
Randy Bullock,K,Texas A&M,5,161,https://www.sports-reference.com/cfb/players/randy-bullock-1.html,69.0,205.0,4.69,16.15,33.17,119.2,6.97,4.26,,38.0,4.0,96.07,60.87,157.0,12.15,2.76,1.45,16.88,0.08,3.23,0.72,6.08,0.8,2.09,53.1,457.32,8.64,3.34,533.4,2935.26,3.54,28.84,586.49,3392.58,3.78,32.18,2012
Vontaze Burfict,ILB,Arizona State,0,0,https://www.sports-reference.com/cfb/players/vontaze-burfict-1.html,73.0,248.0,5.0,21.0,30.0,104.0,7.15,4.32,,40.0,4.0,147.37,108.19,256.0,28.22,8.39,1.99,1.04,0.0,2.13,1.01,0.0,0.0,3.0,58.94,547.14,9.08,5.45,111.74,548.86,4.63,6.13,170.68,1096.01,6.48,11.58,2012
Miles Burris,OLB,San Diego State,4,129,https://www.sports-reference.com/cfb/players/miles-burris-1.html,74.0,246.0,4.67,31.0,37.5,121.0,7.13,4.33,,35.0,3.0,78.79,56.89,136.0,31.86,18.63,0.84,10.71,0.0,1.86,0.6,0.0,0.13,2.21,52.49,643.71,12.54,1.73,8.53,22.08,2.38,1.94,61.02,665.78,7.08,3.66,2012
Drew Butler,P,Georgia,0,0,https://www.sports-reference.com/cfb/players/drew-butler-1.html,73.0,203.0,5.04,13.92,33.01,117.04,7.13,4.29,,46.0,4.0,102.85,51.17,154.0,4.8,0.0,6.59,106.33,0.2,9.0,1.4,24.22,0.89,1.0,46.77,458.99,10.31,2.24,298.82,1647.72,3.57,16.36,345.59,2106.71,3.94,18.6,2012
Tank Carder,ILB,TCU,5,147,https://www.sports-reference.com/cfb/players/tank-carder-1.html,74.0,236.0,4.58,19.0,34.5,121.0,6.89,4.18,,40.0,4.0,134.94,119.07,254.0,21.58,10.23,1.51,58.96,0.33,7.06,2.56,0.41,0.33,3.92,24.28,374.98,18.77,4.64,62.3,277.09,3.74,5.1,86.58,652.08,10.35,9.75,2012
Sean Cattouse,S,California,0,0,https://www.sports-reference.com/cfb/players/sean-cattouse-1.html,74.0,211.0,4.74,14.92,34.0,114.0,6.99,4.15,,42.0,4.0,87.01,43.01,130.0,7.5,1.0,1.0,0.02,0.0,18.0,3.0,0.0,1.0,2.0,52.02,772.11,13.89,6.22,0.21,0.21,9.83,0.0,52.23,772.32,13.84,6.22,2012
Josh Chapman,DT,Alabama,5,136,https://www.sports-reference.com/cfb/players/josh-chapman-1.html,73.0,316.0,5.02,28.64,29.12,102.38,7.92,4.88,,34.0,3.0,71.45,66.38,138.0,25.32,11.25,0.28,1.1,0.0,1.92,1.58,5.72,0.64,1.98,2.4,19.39,6.82,0.0,57.97,258.83,3.53,0.0,60.37,278.22,4.15,0.0,2012
Orson Charles,TE,Georgia,4,116,https://www.sports-reference.com/cfb/players/orson-charles-1.html,74.0,251.0,4.73,35.0,33.11,115.51,7.37,4.5,,39.0,3.0,100.24,52.55,153.0,9.95,2.9,4.38,69.12,0.0,14.61,0.96,3.16,0.8,2.74,25.33,302.67,12.05,4.33,0.33,0.33,1.0,0.0,25.67,303.0,11.9,4.33,2012
Greg Childs,WR,Arkansas,4,134,https://www.sports-reference.com/cfb/players/greg-childs-1.html,75.0,219.0,4.52,19.0,36.5,125.0,6.92,4.18,,40.0,4.0,89.75,60.6,150.0,10.45,2.8,3.23,80.27,0.67,7.28,1.03,2.45,0.33,1.72,92.0,1324.0,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.5,14.45,8.5,2012
Morris Claiborne,CB,LSU,1,6,https://www.sports-reference.com/cfb/players/morris-claiborne-1.html,71.0,188.0,4.5,16.42,34.5,118.0,7.01,4.12,,36.0,3.0,95.35,43.81,139.0,9.19,1.56,6.62,70.51,0.41,19.04,1.12,25.51,0.93,1.36,27.81,206.96,7.0,1.27,291.01,1650.63,5.42,12.62,318.82,1857.59,5.58,13.89,2012
Danny Coale,WR,Virginia Tech,5,152,https://www.sports-reference.com/cfb/players/danny-coale-1.html,72.0,201.0,4.42,12.0,35.0,115.0,6.69,4.15,,40.0,4.0,118.4,56.93,175.0,9.55,2.18,6.92,82.2,0.41,16.45,0.78,6.81,0.23,1.84,140.0,1891.67,13.97,11.33,15.0,126.0,9.93,0.0,155.0,2017.67,13.63,11.33,2012
Audie Cole,ILB,North Carolina State,7,210,https://www.sports-reference.com/cfb/players/audie-cole-1.html,76.0,246.0,4.76,15.0,35.0,114.0,6.96,4.29,,40.0,4.0,115.75,95.08,211.0,23.11,6.42,0.75,0.6,0.0,6.87,1.65,0.0,0.0,2.32,49.27,480.47,10.9,5.81,76.19,349.54,4.2,6.72,125.46,830.02,6.69,12.52,2012
Josh Cooper,WR,Oklahoma State,0,0,https://www.sports-reference.com/cfb/players/josh-cooper-2.html,71.0,190.0,4.65,11.0,37.43,120.98,7.02,4.27,,40.0,4.0,92.25,49.7,142.0,6.7,1.32,1.8,13.59,0.0,8.52,1.15,27.37,0.83,1.91,91.98,1323.64,14.55,8.5,4.0,69.47,11.65,0.0,95.98,1393.11,14.45,8.5,2012
Quinton Coples,DE,North Carolina,1,16,https://www.sports-reference.com/cfb/players/quinton-coples-1.html,78.0,284.0,4.69,25.0,31.5,109.0,7.57,4.78,,37.0,4.0,54.81,46.11,101.0,21.0,8.86,0.27,2.97,0.13,3.8,1.19,1.9,0.09,2.18,6.25,61.22,10.19,0.71,9.1,28.51,2.49,1.99,15.35,89.73,7.07,2.7,2012
Kirk Cousins,QB,Michigan State,4,102,https://www.sports-reference.com/cfb/players/kirk-cousins-1.html,75.0,214.0,4.84,15.21,28.5,109.0,7.05,4.5,,34.0,3.0,93.78,54.58,148.0,11.46,3.97,2.89,17.26,0.0,11.6,1.17,0.0,1.0,1.86,54.98,543.36,7.99,2.82,535.19,3024.72,4.62,26.81,590.17,3568.07,6.86,29.63,2012
Fletcher Cox,DT,Mississippi State,1,12,https://www.sports-reference.com/cfb/players/fletcher-cox-1.html,76.0,298.0,4.77,30.0,26.0,103.0,7.07,4.53,,34.0,3.0,79.23,99.74,179.0,22.33,12.06,0.03,0.35,0.0,4.13,0.99,0.0,0.0,3.94,0.17,0.33,4.9,0.0,1.19,3.54,-0.47,0.36,1.36,3.87,-0.78,0.36,2012
Jack Crawford,DE,Penn State,5,158,https://www.sports-reference.com/cfb/players/jack-crawford-1.html,77.0,274.0,4.74,21.08,33.0,116.0,7.15,4.25,,37.0,4.0,60.95,58.31,119.0,26.06,15.68,0.2,-0.2,0.0,4.74,1.0,6.68,0.45,4.24,11.39,143.21,11.63,1.39,14.17,35.97,2.64,2.73,25.56,179.18,6.69,4.12,2012
Tyrone Crawford,DE,Boise State,3,81,https://www.sports-reference.com/cfb/players/tyrone-crawford-1.html,76.0,275.0,4.82,28.0,33.0,113.0,7.09,4.44,,37.0,4.0,66.72,53.51,120.0,22.5,14.32,0.43,-0.22,0.0,1.19,0.56,1.19,0.04,2.24,17.57,220.49,11.42,3.51,14.47,36.77,2.53,2.79,32.04,257.25,6.98,6.3,2012
Lennon Creer,RB,Louisiana Tech,0,0,https://www.sports-reference.com/cfb/players/lennon-creer-1.html,71.0,219.0,4.67,21.0,33.5,110.0,7.26,4.4,,41.0,4.0,104.93,54.16,159.0,10.09,2.35,4.86,66.37,0.0,15.24,0.93,0.0,0.79,2.43,69.85,601.5,8.86,2.56,509.16,2564.71,5.15,23.06,579.01,3166.21,5.62,25.62,2012
Jared Crick,DE,Nebraska,4,126,https://www.sports-reference.com/cfb/players/jared-crick-1.html,76.0,279.0,4.91,22.05,31.0,104.0,7.47,4.4,,37.0,4.0,85.67,60.49,146.0,27.11,16.05,2.42,21.67,0.15,8.18,1.67,0.0,0.13,4.15,15.51,168.97,9.87,3.38,10.44,26.5,3.68,2.01,25.95,195.47,6.93,5.39,2012
Juron Criner,WR,Arizona,5,168,https://www.sports-reference.com/cfb/players/juron-criner-1.html,74.0,224.0,4.66,17.0,38.0,117.0,7.15,4.3,,40.0,4.0,108.02,58.15,166.0,9.91,3.07,3.31,57.71,0.12,11.34,1.05,38.95,0.88,2.35,92.0,1324.0,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.5,14.45,8.5,2012
John Cullen,OT,Utah,0,0,https://www.sports-reference.com/cfb/players/john-cullen-1.html,76.0,297.0,5.28,23.0,27.0,102.0,7.58,4.59,,4.0,1.0,1.31,0.47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,70.84,6.2,0.0,183.36,916.5,1.87,10.27,194.96,987.34,2.83,10.27,2012
B.J. Cunningham,WR,Michigan State,6,183,https://www.sports-reference.com/cfb/players/bj-cunningham-1.html,73.0,211.0,4.52,12.0,31.5,116.0,7.1,4.34,,40.0,4.0,122.53,81.84,204.0,17.08,3.37,3.71,43.02,0.0,10.02,1.7,0.0,0.44,5.36,92.0,1324.0,14.55,8.5,4.0,69.5,11.65,0.0,96.0,1393.5,14.45,8.5,2012
Vinny Curry,DE,Marshall,2,59,https://www.sports-reference.com/cfb/players/vinny-curry-1.html,75.0,266.0,4.87,23.56,32.0,110.0,6.9,4.4,,37.0,4.0,61.82,45.9,108.0,24.76,14.95,1.64,14.02,0.1,6.4,0.75,23.36,0.79,1.85,10.99,110.39,10.54,1.5,36.97,185.33,3.69,4.31,47.96,295.72,6.5,5.81,2012
Mike Daniels,DT,Iowa,4,132,https://www.sports-reference.com/cfb/players/mike-daniels-2.html,72.0,291.0,4.84,27.96,32.74,111.95,7.45,4.48,,34.0,3.0,54.8,54.1,109.0,22.33,8.67,0.0,0.0,0.0,5.5,1.17,0.0,0.18,1.34,2.71,22.22,6.27,0.0,1.27,6.15,0.96,0.41,3.98,28.37,1.93,0.41,2012
Andrew Datko,OT,Florida State,7,241,https://www.sports-reference.com/cfb/players/andrew-datko-1.html,78.0,315.0,5.19,24.54,29.5,100.0,7.71,4.54,,4.0,1.0,1.51,0.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,78.86,10.4,0.37,182.52,909.86,2.64,9.88,194.67,988.71,9.62,10.25,2012
